city,country
ABU ZABI,ZJEDNOCZONE EMIRATY ARABSKIE
ABUDŻA,NIGERIA
ADDIS ABEBA,ETIOPIA
ALGIERIA,ALGIERIA
AŁMATY,KAZACHSTAN
AMMAN,JORDANIA
ANKARA,TURCJA
ASTANA,KAZACHSTAN
ATENY,GRECJA
BAKU,AZERBEJDŻAN
BANGKOK,TAJLANDIA
BEJRUT,LIBAN
BELGRAD,SERBIA
BERLIN,NIEMCY
BERNO,SZWAJCARIA
BOGOTA,KOLUMBIA
BRASILIA,BRAZYLIA
BRATYSŁAWA,SŁOWACJA
BRUKSELA,BELGIA
BRZEŚĆ,BIAŁORUŚ
BUDAPESZT,WĘGRY
BUENOS AIRES,ARGENTYNA
BUKARESZT,RUMUNIA
CARACAS,WENEZUELA
CHARKÓW,UKRAINA
CHENGDU,CHINY
CHICAGO,STANY ZJEDNOCZONE
DAKAR,SENEGAL
DAMASZEK,SYRIA
DAR-ES-SALAM,TANZANIA
DOHA,KATAR
DUBLIN,IRLANDIA
DŻAKARTA,INDONEZJA
ERBIL,IRAK
ERYWAŃ,ARMENIA
GRODNO,BIAŁORUŚ
HANOI,WIETNAM
HAWANA,KUBA
HELSINKI,FINLANDIA
HONGKONG,CHRL
HOUSTON,STANY ZJEDNOCZONE
IRKUCK,ROSJA
ISLAMABAD,PAKISTAN
KAIR,EGIPT
KANTON,CHRL
KIJÓW,UKRAINA
KISZYNIÓW,MOŁDAWIA
KOPENHAGA,DANIA
KUALA LUMPUR,MALEZJA
KURYTYBA,BRAZYLIA
KUWEJT,KUWEJT
LIMA,PERU
LONDYN,WIELKA BRYTANIA
LOS ANGELES,STANY ZJEDNOCZONE
LUANDA,ANGOLA
LUBLANA,SŁOWENIA
LUKSEMBURG,LUKSEMBURG
LWÓW,UKRAINA
ŁUCK,UKRAINA
MANILA,FILIPINY
MEKSYK,MEKSYK
MIŃSK,BIAŁORUŚ
MONTREAL,KANADA
MOSKWA,ROSJA
MUMBAJ,INDIE
NAIROBI,KENIA
NEW DELHI,INDIE
NIKOZJA,CYPR
NOWY JORK,STANY ZJEDNOCZONE
OBWÓD KALININGRADZKI,ROSJA
ODESSA,UKRAINA
OSLO,NORWEGIA
OTTAWA,KANADA
PANAMA,PANAMA
PARYŻ,FRANCJA
PEKIN,CHINY
PODGORICA,CZARNOGÓRA
PRAGA,CZECHY
PRETORIA,POŁUDNIOWA AFRYKA
RABAT,MAROKO
REJKIAWIK,ISLANDIA
RIJAD,ARABIA SAUDYJSKA
RYGA,ŁOTWA
RZYM,WŁOCHY
SANKT PETERSBURG,ROSJA
SANTIAGO,CHILE
SARAJEWO,BOŚNIA I HERCEGOWINA
SEUL,KOREA POŁUDNIOWA
SINGAPUR,SINGAPUR
SKOPJE,MACEDONIA PÓŁNOCNA
SOFIA,BUŁGARIA
STAMBUŁ,TURCJA
SYDNEY,AUSTRALIA
SZANGHAJ,CHIŃSKA REPUBLIKA LUDOWA
SZTOKHOLM,SZWECJA
TAJPEJ,TAJWAN
TALLIN,ESTONIA
TASZKIENT,UZBEKISTAN
TBILISI,GRUZJA
TEHERAN,IRAN
TEL-AVIV,IZRAEL
TIRANA,ALBANIA
TOKIO,JAPONIA
TORONTO,KANADA
TUNIS,TUNEZJA
VANCOUVER,KANADA
WASZYNGTON,STANY ZJEDNOCZONE
WELLINGTON,NOWA ZELANDIA
WIEDEŃ,AUSTRIA
WILNO,LITWA
WINNICA,UKRAINA
ZAGRZEB,CHORWACJA
